# VGN-Haltestellen (ZHV/DELFI, gefiltert auf VGN-Bounding-Box)
# Offizielle Quelle zum Aktualisieren: https://www.vgn.de/opendata/GTFS.zip
# Lizenz: CC BY 3.0 DE — VGN – Verkehrsverbund Großraum Nürnberg GmbH
id	name
de:09474:9419	Abzw. Hohenschwärz
de:09574:7481	Abzw. Hohenstein
de:09375:17	Abzw. Hohenwarth
de:09371:19215	Abzw. Holzhammer
de:09373:17584	Abzw. Holzheim (b. Hohenfels)
de:09373:17131	Abzw. Holzheim (b. Neumarkt)
de:09576:8225	Abzw. Holzi
de:09474:9547	Abzw. Honings
de:09571:13743	Abzw. Hornau
de:09571:12823	Abzw. Häslabronn
de:09576:8215	Abzw. Häusern
de:09474:9416	Abzw. Höfles bei Gräfenberg
de:09571:12720	Abzw. Höfstetten (b.Herrieden)
de:09571:13682	Abzw. Höfstetten (b.Wieseth)
de:09373:17377	Abzw. Höhenberg/Breitenbrunn
de:09373:17672	Abzw. Höhendorf
de:09371:18620	Abzw. Hölzlmühle
de:09373:17771	Abzw. Hörmannsdorf
de:09474:9356	Abzw. Hühnerloh
de:09373:17142	Abzw. Iberlsmühle
de:09571:13818	Abzw. Illenschwang
de:09371:18547	Abzw. Immenstetten
de:09571:13567	Abzw. Irrebach
de:09373:17160	Abzw. Ischhofen
de:09674:15329	Abzw. Junkersdorf/Rabelsdorf
de:09472:23529	Abzw. Kainach
de:09371:18588	Abzw. Kainsricht
de:09371:18342	Abzw. Kalchsreuth
de:09361:19931	Abzw. Karmensölden
de:09375:21	Abzw. Kaulhausen
de:09576:8835	Abzw. Keilberg
de:09571:12531	Abzw. Kellern
de:09471:21367	Abzw. Kemmern
de:09371:19275	Abzw. Kemnatheröd
de:09373:17511	Abzw. Kiesenhof
de:09472:22856	Abzw. Kirchenbirkig
de:09475:80461	Abzw. Kirschbaum,Stammbach
de:09574:7483	Abzw. Kleedorf
de:09371:18109	Abzw. Kleinfalz
de:09576:8885	Abzw. Kleinhöbing
de:09574:7449	Abzw. Kleinmeinfeld
de:09375:22	Abzw. Klingen
de:09375:23	Abzw. Kochenthal
de:09474:9813	Abzw. Kolmreuth
de:09571:11779	Abzw. Koppenschallbach
de:09571:12906	Abzw. Kressenhof
de:09575:14763	Abzw. Krettenbach
de:09571:11784	Abzw. Krobshausen
de:09371:18623	Abzw. Krondorf (b. Hirschau)
de:09576:8071	Abzw. Kronmühle
de:09371:18100	Abzw. Kropfersricht/Happy Rock
de:09574:7558	Abzw. Krottensee
de:09373:17706	Abzw. Kruppach (b. Mühlh.)
de:09375:24	Abzw. Kumpfhof
de:09561:11369	Abzw. Käferbach
de:09575:14371	Abzw. Kästel
de:09373:17703	Abzw. Körnersdorf
de:09371:18784	Abzw. Kühnhof
de:09373:17895	Abzw. Laaber (b. Pilsach)
de:09576:8384	Abzw. Lampersdorf
de:09373:17366	Abzw. Langenried
de:09373:17298	Abzw. Langenthal
de:09571:12708	Abzw. Lattenbuch
de:09373:17587	Abzw. Lauf (b. Hohenfels)
de:09373:17558	Abzw. Lauterbach (b. Freyst.)
de:09373:17608	Abzw. Lauterhofen
de:09571:12724	Abzw. Leibelbach
de:09474:9366	Abzw. Leimersberg
de:09571:13765	Abzw. Leipersloh
de:09361:19942	Abzw. Lengenloh
de:09575:14646	Abzw. Lerchenhöchstadt
de:09571:11788	Abzw. Lichtenau (b.Feuchtwang)
de:09375:27	Abzw. Lindach
